model,sample_size,epochs_ran,best_val_accuracy,best_val_loss,test_accuracy,test_loss,best_epoch_index
Pretrained GloVe Embedding,100,4,0.505299985408783,0.8196461200714111,0.5000799894332886,0.8261082172393799,0
Trainable Embedding,100,4,0.49810001254081726,0.6969438195228577,0.5010799765586853,0.6965274810791016,3
Pretrained GloVe Embedding,200,5,0.5770999789237976,0.6762694120407104,0.5718799829483032,0.6797863245010376,4
Trainable Embedding,200,4,0.5234000086784363,0.6941257119178772,0.5004799962043762,0.6938983798027039,3
Pretrained GloVe Embedding,500,8,0.5967000126838684,0.6934232115745544,0.5818399786949158,0.6971718072891235,6
Trainable Embedding,500,5,0.5507000088691711,0.6913291215896606,0.525160014629364,0.6926594376564026,4
Pretrained GloVe Embedding,1000,11,0.6287999749183655,0.6744388937950134,0.6226000189781189,0.6773748397827148,7
Trainable Embedding,1000,5,0.6051999926567078,0.677734375,0.5741599798202515,0.6788919568061829,3
Pretrained GloVe Embedding,2000,6,0.656000018119812,0.6280952095985413,0.6438400149345398,0.63262540102005,5
Trainable Embedding,2000,6,0.7117000222206116,0.5835632085800171,0.7021600008010864,0.583256185054779,5
Pretrained GloVe Embedding,5000,6,0.6712999939918518,0.6288639903068542,0.6696400046348572,0.6310185194015503,2
Trainable Embedding,5000,5,0.7789999842643738,0.471802294254303,0.7765200138092041,0.4756568372249603,2
